KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,SEMANA,RESULTADO
4667,28000,12008,0.483,5797,2.571,7,2013,12,49,Mucho
4000,4000,1715,0.061,104,3.4,1,2013,12,50,Nada
4000,20000,8577,0.27,2318,4.364,5,2013,12,51,Nada
4000,16000,6862,0.211,1445,4.846,4,2013,12,52,Nada
4000,8000,3431,0.125,429,5.1,2,2013,12,53,Nada
4000,20000,8577,0.4,3431,4.091,5,2014,1,1,Medio
6000,12000,5146,0.353,1816,2.727,3,2014,1,2,Nada
4000,12000,5146,0.353,1816,2.1,3,2014,1,3,Nada
5600,28000,12008,1.077,12932,2.727,7,2014,1,4,Medio
4000,12000,4948,0.545,2699,0.692,3,2014,1,5,Mucho
4000,24000,9698,1.2,11638,1.846,6,2014,2,6,Medio
4000,8000,3233,2,6465,0.375,2,2014,2,7,Mucho
0,0,0,0,0,0,0,2014,2,8,Nada
5143,36000,14547,1.636,23805,3.75,9,2014,2,9,Medio
4800,24000,9698,2,19396,0.273,6,2014,3,10,Mucho
4000,24000,9698,0.632,6125,1,6,2014,3,11,Medio
4000,12000,4849,0.24,1164,2,3,2014,3,12,Nada
4000,12000,4849,0.316,1531,2.2,3,2014,3,13,Nada
4000,16000,6465,0.667,4310,2,4,2014,3,14,Medio
4667,28000,11315,14,158404,1.2,7,2014,4,15,Medio
4000,12000,4849,6,29095,-0.643,3,2014,4,16,Mucho
4000,24000,9698,1,9698,0.857,6,2014,4,17,Medio
4000,16000,6465,0.667,4310,1.5,4,2014,4,18,Nada
4000,8000,3233,0.25,808,0.923,2,2014,5,19,Nada
4000,8000,3213,0.182,584,3,2,2014,5,20,Nada
4000,8000,3213,0.222,714,3.75,2,2014,5,21,Nada
4000,12000,4819,0.462,2224,4,3,2014,5,22,Nada
4000,8000,3213,0.5,1606,2.143,2,2014,6,23,Nada
4000,4000,1606,0.167,268,1.286,1,2014,6,24,Nada
4000,12000,4849,0.4,1940,4.5,3,2014,6,25,Nada
4000,12000,4849,0.667,3233,3,3,2014,6,26,Nada
4000,8000,3233,0.286,924,1.286,2,2014,6,27,Nada
5000,20000,9172,0.189,1731,4.125,5,2014,7,28,Nada
4000,24000,11879,0.154,1828,12.6,6,2014,7,29,Medio
4000,20000,9899,0.149,1477,8.308,5,2014,7,30,Nada
4000,8000,3960,0.067,264,5.813,2,2014,7,31,Nada
4000,16000,7919,0.148,1173,6.692,4,2014,8,32,Nada
4000,24000,11879,0.273,3240,6.818,6,2014,8,33,Medio
4000,12000,5939,0.171,1018,4.75,3,2014,8,34,Nada
4000,20000,9899,0.37,3666,3.692,5,2014,8,35,Nada
4000,8000,3960,0.2,792,2.357,2,2014,8,36,Nada
4000,28000,13495,0.667,8997,2.7,7,2014,9,37,Mucho
4000,4000,1616,0.087,141,2.571,1,2014,9,38,Nada
4000,4000,1616,0.1,162,3.3,1,2014,9,39,Nada
4000,8000,3233,0.25,808,3,2,2014,9,40,Nada
4000,8000,3233,0.333,1078,5.25,2,2014,10,41,Nada
4000,8000,3233,0.5,1616,3,2,2014,10,42,Nada
4000,12000,4849,2,9698,1.5,3,2014,10,43,Medio
4000,4000,1616,-0.286,-462,0,1,2014,10,44,Nada
4000,20000,8082,-0.526,-4254,-3.5,5,2014,11,45,Nada
4000,8000,3233,-0.19,-616,-4,2,2014,11,46,Nada
4000,8000,3233,-0.2,-647,-3.375,2,2014,11,47,Nada
5333,16000,6465,-0.5,-3233,-3.667,4,2014,11,48,Nada
0,0,0,0,0,-1.875,0,2014,11,49,Nada
1333,4000,1616,-0.182,-294,-2.5,1,2014,12,50,Nada
4000,4000,1616,-0.667,-1078,-3.6,1,2014,12,51,Nada
5333,16000,6465,4,25862,4.5,4,2014,12,52,Nada
0,0,0,0,0,-0.5,0,2014,12,53,Nada
0,0,0,0,0,-0.6,0,2015,1,1,Nada
4000,4000,1616,0.118,190,6.75,1,2015,1,2,Nada
4000,8000,3233,0.286,924,24,2,2015,1,3,Nada
5000,20000,8082,1.429,11545,6,5,2015,1,4,Nada
3200,16000,6465,-4,-25862,0.375,4,2015,1,5,Nada
0,0,0,0,0,-0.818,0,2015,2,6,Nada
0,0,0,0,0,-1,0,2015,2,7,Nada
4000,8000,3233,0.5,1616,0,2,2015,2,8,Medio
2667,8000,3233,0.211,681,12,2,2015,2,9,Nada
5000,20000,8082,0.588,4754,8.25,5,2015,3,10,Medio
4000,8000,3233,0.4,1293,2,2,2015,3,11,Nada
4000,4000,1616,0.286,462,1.333,1,2015,3,12,Nada
4000,12000,4849,0.75,3637,1.125,3,2015,3,13,Mucho
0,0,0,0,0,2.5,0,2015,3,14,Nada
6000,12000,4849,0.857,4156,3.75,3,2015,4,15,Medio
4000,8000,3233,2,6465,1,2,2015,4,16,Medio
0,0,0,0,0,0,0,2015,4,17,Nada
4000,12000,4492,0.353,1585,6,3,2015,4,18,Nada
4000,4000,1497,0.154,230,4.2,1,2015,5,19,Nada
4000,4000,1497,0.182,272,4.5,1,2015,5,20,Nada
4000,4000,1497,0.222,333,3,1,2015,5,21,Nada
4000,4000,1497,0.286,428,4,1,2015,5,22,Nada
5333,16000,5989,4,23956,3,4,2015,5,23,Nada
4000,4000,1497,0.286,428,-0.5,1,2015,6,24,Nada
4000,4000,1497,0.133,200,4,1,2015,6,25,Nada
5333,16000,5989,0.8,4791,3.5,4,2015,6,26,Medio
4000,4000,1497,0.4,599,1.5,1,2015,6,27,Mucho
4000,8000,2995,0.4,1198,1,2,2015,7,28,Mucho
4000,16000,5989,0.667,3993,3.429,4,2015,7,29,Medio
4000,12000,4492,1.2,5390,1.714,3,2015,7,30,Medio
4000,4000,1497,2,2995,0.333,1,2015,7,31,Mucho
0,0,0,0,0,0,0,2015,8,32,Nada
4000,12000,4492,0.286,1283,9,3,2015,8,33,Nada
4000,4000,1497,0.118,176,6.75,1,2015,8,34,Nada
4000,4000,1497,0.133,200,6,1,2015,8,35,Nada
7000,28000,10481,2,20962,4.2,7,2015,8,36,Medio
0,0,0,0,0,0,0,2015,9,37,Nada
4000,4000,1497,0.143,214,0,1,2015,9,38,Nada
4000,8000,2995,0.154,461,5.25,2,2015,9,39,Nada
4000,16000,5989,0.4,2396,12,4,2015,9,40,Medio
4000,12000,4492,0.333,1497,3.429,3,2015,10,41,Nada
4000,4000,1497,0.105,158,3.333,1,2015,10,42,Nada
0,0,0,0,0,3.375,0,2015,10,43,Nada
4000,4000,1497,0.074,111,6.75,1,2015,10,44,Nada
4571,32000,11978,0.571,6845,27,8,2015,11,45,Mucho
4000,8000,2995,0.222,665,3.333,2,2015,11,46,Nada
4000,4000,1497,0.08,120,2.182,1,2015,11,47,Nada
0,0,0,0,0,4.636,0,2015,11,48,Nada
4000,4000,1376,0.061,83,17,1,2015,11,49,Nada
4000,8000,2753,0.133,367,24,2,2015,12,50,Nada
4000,12000,4129,0.24,991,14,3,2015,12,51,Nada
5333,16000,5505,0.444,2447,5.5,4,2015,12,52,Medio
4000,12000,4129,0.545,2252,2.333,3,2015,12,53,Nada
6000,12000,4129,1.2,4955,1.2,3,2016,1,53,Medio
4000,4000,1376,2,2753,0.3,1,2016,1,1,Mucho
0,0,0,0,0,0,0,2016,1,2,Nada
0,0,0,0,0,0,0,2016,1,3,Nada
0,0,0,0,0,0,0,2016,1,4,Nada
0,0,0,0,0,0,0,2016,1,5,Nada
0,0,0,0,0,0,0,2016,2,6,Nada
0,0,0,0,0,0,0,2016,2,7,Nada
0,0,0,0,0,0,0,2016,2,8,Nada
0,0,0,0,0,0,0,2016,2,9,Nada
0,0,0,0,0,0,0,2016,3,10,Nada
0,0,0,0,0,0,0,2016,3,11,Nada
4500,9000,2314,0.308,712,0,2,2016,3,12,Nada
4500,18000,4629,0.364,1683,19.5,4,2016,3,13,Nada
0,0,0,0,0,4.5,0,2016,4,14,Nada
4500,13500,3471,0.4,1389,4.5,3,2016,4,15,Nada
4500,13500,3471,0.667,2314,2.571,3,2016,4,16,Nada
4500,4500,1157,0.167,193,1.5,1,2016,4,17,Nada
4500,4500,1157,0.118,136,3.857,1,2016,5,18,Nada
4500,4500,1157,0.133,154,4.8,1,2016,5,19,Nada
4500,9000,2314,0.333,771,7,2,2016,5,20,Nada
9000,9000,2314,0.5,1157,3.75,2,2016,5,21,Nada
4500,9000,2829,0.444,1257,1.8,2,2016,5,22,Nada
4500,18000,6687,1,6687,3,4,2016,6,23,Nada
4500,9000,3344,2,6687,0.75,2,2016,6,24,Medio
4500,9000,3344,1,3344,0,2,2016,6,25,Mucho
0,0,0,0,0,1.5,0,2016,6,26,Nada
4500,13500,5015,1.2,6019,3,3,2016,7,27,Medio
4500,4500,1672,2,3344,0.6,1,2016,7,28,Mucho
0,0,0,0,0,0,0,2016,7,29,Nada
0,0,0,0,0,0,0,2016,7,30,Nada
0,0,0,0,0,0,0,2016,7,31,Nada
4500,4500,1672,0.222,372,0,1,2016,8,32,Nada
4500,36000,12247,1.6,19596,27,8,2016,8,33,Medio
4500,4500,1531,2,3062,0.333,1,2016,8,34,Mucho
0,0,0,0,0,0,0,2016,8,35,Nada
4500,13500,4593,0.353,1621,3.333,3,2016,9,36,Nada
4500,13500,4593,0.353,1621,5.25,3,2016,9,37,Nada
4500,4500,1531,0.105,161,5,1,2016,9,38,Nada
4500,9000,3062,0.25,765,3.857,2,2016,9,39,Nada
